well	time	measure
A1	0.54	1043.09073
A1	1.54	757.52094
A1	2.2	94.384719
A1	3.2	106.126944
A1	4.2	118.244742
A1	5.2	122.763564
A1	6.2	128.89107
A1	7.2	136.671183
A1	8.2	134.302806
A1	9.2	142.062987
A1	10.2	139.672137
A1	11.2	140.589372
A1	12.2	139.871952
A1	13.2	141.830667
A1	14.2	141.520599
A1	15.2	144.147135
A1	16.2	145.0977
A1	17.2	145.181982
A1	18.2	143.363946
A1	19.2	144.007413
A1	20.2	139.387545
A1	21.2	138.785955
A1	22.2	134.35026
A1	23.2	133.736559
A1	24.2	134.401707
A1	25.2	135.106521
A1	26.21	130.912419
A2	0.54	950.43366
A2	1.54	636.49476
A2	2.2	140.63511
A2	3.2	191.722509
A2	4.2	254.156529
A2	5.2	287.464749
A2	6.2	294.181767
A2	7.2	297.416163
A2	8.2	298.30416
A2	9.2	287.729475
A2	10.2	291.096366
A2	11.2	284.839236
A2	12.2	280.03833
A2	13.2	275.47377
A2	14.2	263.692539
A2	15.2	254.105511
A2	16.2	255.089076
A2	17.2	252.069048
A2	18.2	246.574053
A2	19.2	243.334377
A2	20.2	245.523663
A2	21.2	250.142838
A2	22.2	248.562864
A2	23.2	252.495177
A2	24.2	255.649284
A2	25.2	256.492302
A2	26.21	265.423158
A3	0.54	947.93787
A3	1.54	602.52951
A3	2.2	171.189513
A3	3.2	204.754638
A3	4.2	236.415102
A3	5.2	256.023999
A3	6.2	265.839618
A3	7.2	271.173144
A3	8.2	281.244645
A3	9.2	281.748522
A3	10.2	286.700403
A3	11.2	288.792867
A3	12.2	296.325711
A3	13.2	291.331458
A3	14.2	295.481769
A3	15.2	288.498474
A3	16.2	284.984601
A3	17.2	278.936229
A3	18.2	272.246535
A3	19.2	269.774274
A3	20.2	265.740024
A3	21.2	258.619317
A3	22.2	252.898899
A3	23.2	247.813137
A3	24.2	239.238384
A3	25.2	238.447473
A3	26.21	232.164504
A4	0.54	893.57796
A4	1.54	109.915773
A4	2.2	70.551987
A4	3.2	102.999567
A4	4.2	106.781862
A4	5.2	116.980116
A4	6.2	127.341159
A4	7.2	132.114345
A4	8.2	130.191534
A4	9.2	139.418004
A4	10.2	145.455288
A4	11.2	154.840224
A4	12.2	156.046572
A4	13.2	161.01558
A4	14.2	182.274675
A4	15.2	198.446094
A4	16.2	234.323661
A4	17.2	257.096829
A4	18.2	273.691308
A4	19.2	278.467068
A4	20.2	283.469307
A4	21.2	291.368451
A4	22.2	292.866585
A4	23.2	296.598093
A4	24.2	292.476723
A4	25.2	294.561894
A4	26.21	301.715733
A5	0.54	910.05123
A5	1.54	616.16445
A5	2.2	139.057578
A5	3.2	175.581582
A5	4.2	214.904382
A5	5.2	242.613096
A5	6.2	260.208498
A5	7.2	266.848593
A5	8.2	275.058366
A5	9.2	274.796412
A5	10.2	269.695833
A5	11.2	261.708942
A5	12.2	256.162038
A5	13.2	248.622825
A5	14.2	243.566136
A5	15.2	234.565452
A5	16.2	227.156655
A5	17.2	212.309988
A5	18.2	204.84354
A5	19.2	193.677924
A5	20.2	192.111876
A5	21.2	183.886659
A5	22.2	179.88399
A5	23.2	172.32237
A5	24.2	165.227106
A5	25.2	163.172427
A5	26.21	154.747626
A6	0.54	997.88865
A6	1.54	709.02018
A6	2.2	134.66409
A6	3.2	192.729075
A6	4.2	228.210477
A6	5.2	244.6059
A6	6.2	255.265791
A6	7.2	271.631943
A6	8.2	278.550327
A6	9.2	284.72532
A6	10.2	280.909233
A6	11.2	284.204514
A6	12.2	281.129277
A6	13.2	262.853976
A6	14.2	255.538404
A6	15.2	242.355333
A6	16.2	233.21562
A6	17.2	220.930281
A6	18.2	207.689724
A6	19.2	201.672471
A6	20.2	187.51458
A6	21.2	179.53122
A6	22.2	169.936041
A6	23.2	162.828765
A6	24.2	159.38967
A6	25.2	154.999251
A6	26.21	146.142216
B2	0.54	1003.36665
B2	1.54	756.0234
B2	2.2	20138.3457
B2	3.2	143.532048
B2	4.2	156.932094
B2	5.2	170.376525
B2	6.2	178.437831
B2	7.2	164.424018
B2	8.2	167.915946
B2	9.2	164.043066
B2	10.2	161.988123
B2	11.2	158.713995
B2	12.2	144.989262
B2	13.2	137.985837
B2	14.2	123.024165
B2	15.2	114.628734
B2	16.2	108.048798
B2	17.2	102.649272
B2	18.2	95.211435
B2	19.2	93.957666
B2	20.2	89.845404
B2	21.2	87.195438
B2	22.2	82.821222
B2	23.2	79.744533
B2	24.2	76.866504
B2	25.2	75.190632
B2	26.21	70.325574
B3	0.54	887.89437
B3	1.54	670.96326
B3	2.2	120.022386
B3	3.2	166.856349
B3	4.2	194.488239
B3	5.2	214.187424
B3	6.2	225.264567
B3	7.2	227.424846
B3	8.2	223.622718
B3	9.2	217.241574
B3	10.2	209.857659
B3	11.2	202.616073
B3	12.2	186.919557
B3	13.2	178.236795
B3	14.2	168.651153
B3	15.2	152.54382
B3	16.2	139.651116
B3	17.2	126.41145
B3	18.2	110.298045
